cell_hash,B,T_max_s,k,lambda_bg,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
64fda48de7a5,20,300,5,100,10,7,True,112,0.4,0.030611168599547666
64fda48de7a5,20,300,5,100,11,7,True,707,0.8,0.02307389184375678
64fda48de7a5,20,300,5,100,12,7,True,80,0.8,0.030293890953003888
64fda48de7a5,20,300,5,100,13,7,True,261,0.9,0.02577741188081364
64fda48de7a5,20,300,5,100,14,7,True,115,0.7,0.2192930548100368
64fda48de7a5,20,300,5,100,15,7,True,75,0.8,0.002005722246167812
64fda48de7a5,20,300,5,100,16,7,True,125,0.7,0.05962534130238953
64fda48de7a5,20,300,5,100,17,7,True,78,0.4,0.025721177911301983
64fda48de7a5,20,300,5,100,18,7,True,51,0.7,0.006978114734285373
64fda48de7a5,20,300,5,100,19,7,True,132,0.6,0.028511049330381438
64fda48de7a5,20,300,5,100,20,7,True,217,0.5,0.024834648371601896
64fda48de7a5,20,300,5,100,21,7,True,87,0.8,0.04330829144714421
64fda48de7a5,20,300,5,100,22,7,True,257,0.7,0.01325161387563989
64fda48de7a5,20,300,5,100,23,7,True,69,0.8,0.08612167680116313
64fda48de7a5,20,300,5,100,24,7,True,145,0.8,0.0938070220234478
64fda48de7a5,20,300,5,100,25,7,True,161,0.8,0.010039763165044718
64fda48de7a5,20,300,5,100,26,7,True,65,0.7,0.06483415431616246
64fda48de7a5,20,300,5,100,27,7,True,333,0.9,0.008493439148510204
64fda48de7a5,20,300,5,100,28,7,True,408,0.8,0.010716480355880562
64fda48de7a5,20,300,5,100,29,7,True,100,0.7,0.05883036397128666
c0773704a5fe,20,300,10,100,0,7,True,357,0.9,0.06977144211021637
c0773704a5fe,20,300,10,100,1,7,True,1077,0.9,0.011789481788106923
c0773704a5fe,20,300,10,100,2,7,True,1156,1.0,0.0030879325177189973
c0773704a5fe,20,300,10,100,3,7,True,1216,0.9,0.019814506381931187
c0773704a5fe,20,300,10,100,4,7,True,498,0.8,0.0032067238912731285
c0773704a5fe,20,300,10,100,5,7,True,282,1.0,0.011358358423359733
c0773704a5fe,20,300,10,100,6,7,True,1104,0.9,0.0031688376363605193
c0773704a5fe,20,300,10,100,7,7,True,760,0.9,0.006098362709198914
c0773704a5fe,20,300,10,100,8,7,True,350,0.8,0.004257874358700393
c0773704a5fe,20,300,10,100,9,7,True,134,0.6,0.08421021426747712
c0773704a5fe,20,300,10,100,10,7,True,1569,1.0,0.00405829601314131
c0773704a5fe,20,300,10,100,11,7,True,287,0.9,0.02308161739961965
c0773704a5fe,20,300,10,100,12,7,True,316,0.9,0.02071295895361492
c0773704a5fe,20,300,10,100,13,7,True,949,1.0,0.00898807652437459
c0773704a5fe,20,300,10,100,14,7,True,649,0.9,0.02770594480853151
c0773704a5fe,20,300,10,100,15,7,True,295,0.8,0.022029428134807058
c0773704a5fe,20,300,10,100,16,7,True,186,0.8,0.006968044114753383
c0773704a5fe,20,300,10,100,17,7,True,240,0.9,0.014010100388542241
c0773704a5fe,20,300,10,100,18,7,True,474,0.7,0.02394180596947727
c0773704a5fe,20,300,10,100,19,7,True,429,0.8,0.0022253524793528186
c0773704a5fe,20,300,10,100,20,7,True,823,0.7,0.0025315508881156297
c0773704a5fe,20,300,10,100,21,7,True,611,1.0,0.0175701871216591
c0773704a5fe,20,300,10,100,22,7,True,259,0.9,0.02824329826901472
c0773704a5fe,20,300,10,100,23,7,True,1138,0.9,0.020724151546737693
c0773704a5fe,20,300,10,100,24,7,True,345,0.7,0.02437745197335675
c0773704a5fe,20,300,10,100,25,7,True,206,0.8,0.015568031852840686
c0773704a5fe,20,300,10,100,26,7,True,326,1.0,0.03259832803527701
c0773704a5fe,20,300,10,100,27,7,True,1963,1.0,0.004189375517034219
c0773704a5fe,20,300,10,100,28,7,True,170,1.0,0.06915781927333808
c0773704a5fe,20,300,10,100,29,7,True,237,0.8,0.012590630200278079
